dataset,method,model,split,config,N,runs,observed_N_min,observed_N_mean,match_rate_mean,match_rate_std,log10_p_value_mean,log10_p_value_std,p_value_geomean
alfworld,rank,gemini-flash,OOD,top2,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,gemini-flash,OOD,top2,20,3,20,20,0.95,0.04999999999999999,-4.805099329935754,1.1658104029050917,1.5663927706270154e-05
alfworld,rank,gemini-flash,OOD,top2,30,3,30,30,0.9222222222222223,0.06938886664887108,-6.310924180119131,2.393467780474886,4.88737676563043e-07
alfworld,rank,gemini-flash,OOD,top2,50,3,50,50,0.9133333333333333,0.011547005383792526,-9.326602150523295,0.5627770697194171,4.714089780613027e-10
alfworld,rank,gemini-flash,OOD,top2,80,3,80,80,0.9416666666666667,0.014433756729740593,-17.096614707062205,1.3230344506390335,8.005441586390431e-18
alfworld,rank,gemini-flash,OOD,top2,100,3,100,100,0.95,0.010000000000000009,-22.231170724570795,1.2466251653017346,5.872584512400236e-23
alfworld,rank,gemini-flash,OOD,top2,150,3,150,150,0.94,0.013333333333333364,-31.272837157814777,2.35968222814785,5.335349111634665e-32
alfworld,rank,gemini-flash,OOD,top2,200,3,200,200,0.95,0.010000000000000009,-43.889975453710456,2.527889909488705,1.2883223655129386e-44
alfworld,rank,gemini-flash,OOD,top3,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,gemini-flash,OOD,top3,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,gemini-flash,OOD,top3,20,3,20,20,0.9666666666666667,0.028867513459481315,-5.139120383457011,0.7633836657423456,7.2590471372797424e-06
alfworld,rank,gemini-flash,OOD,top3,30,3,30,30,0.9444444444444444,0.01924500897298752,-6.754855360848011,0.6795552519084641,1.7585091772958354e-07
alfworld,rank,gemini-flash,OOD,top3,50,3,50,50,0.9333333333333333,0.011547005383792462,-10.371742211083609,0.623729308098329,4.2487168483571253e-11
alfworld,rank,gemini-flash,OOD,top3,80,3,80,80,0.925,0.012500000000000011,-15.593074469683497,1.0673948896194145,2.5522636213907407e-16
alfworld,rank,gemini-flash,OOD,top3,100,3,100,100,0.94,0.009999999999999953,-21.022500730213963,1.1690975313381025,9.495094027149398e-22
alfworld,rank,gemini-flash,OOD,top3,150,3,150,150,0.9422222222222222,0.007698003589194996,-31.624223891123776,1.3591649797301808,2.37561527383183e-32
alfworld,rank,gemini-flash,OOD,top3,200,3,200,200,0.9516666666666667,0.00763762615825974,-44.2899253739635,1.9679126931055615,5.1294951797051366e-45
alfworld,rank,gemini-flash,OOD,top5,5,3,5,5,0.9333333333333333,0.11547005383792512,-1.2457662281920248,0.4492658338792406,0.056785018526004365
alfworld,rank,gemini-flash,OOD,top5,10,3,10,10,0.9333333333333333,0.05773502691896256,-2.316038166534329,0.6012483471082085,0.004830163518797557
alfworld,rank,gemini-flash,OOD,top5,20,3,20,20,0.95,0.04999999999999999,-4.805099329935754,1.1658104029050917,1.5663927706270154e-05
alfworld,rank,gemini-flash,OOD,top5,30,3,30,30,0.9666666666666667,0.033333333333333326,-7.644317333078011,1.3372751601306598,2.2682068982686507e-08
alfworld,rank,gemini-flash,OOD,top5,50,3,50,50,0.9333333333333333,0.011547005383792462,-10.371742211083609,0.623729308098329,4.2487168483571253e-11
alfworld,rank,gemini-flash,OOD,top5,80,3,80,80,0.9291666666666667,0.014433756729740658,-15.960888533561857,1.2322844738374361,1.0942371781971755e-16
alfworld,rank,gemini-flash,OOD,top5,100,3,100,100,0.93,0.009999999999999953,-19.886302803503987,1.1021417676218048,1.2992633756663796e-20
alfworld,rank,gemini-flash,OOD,top5,150,3,150,150,0.9377777777777777,0.003849001794597466,-30.82325885342472,0.6655089095396363,1.502246312267734e-31
alfworld,rank,gemini-flash,OOD,top5,200,3,200,200,0.9366666666666666,0.0028867513459480674,-40.61658963526297,0.6713579158569067,2.417744281370295e-41
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,10,3,9,9.666666666666666,1.0,0.0,-2.9099566247518185,0.17379974903075146,0.0012303916502879612
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,20,3,9,10.666666666666666,1.0,0.0,-3.2109866204157993,0.4598309138608072,0.0006151958251439812
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,30,3,9,10.666666666666666,1.0,0.0,-3.2109866204157993,0.4598309138608072,0.0006151958251439812
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,50,3,9,10.666666666666666,1.0,0.0,-3.2109866204157993,0.4598309138608072,0.0006151958251439812
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,80,3,9,10.666666666666666,1.0,0.0,-3.2109866204157993,0.4598309138608072,0.0006151958251439812
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,100,3,9,10.666666666666666,1.0,0.0,-3.2109866204157993,0.4598309138608072,0.0006151958251439812
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,150,3,9,10.666666666666666,1.0,0.0,-3.2109866204157993,0.4598309138608072,0.0006151958251439812
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,200,3,9,10.666666666666666,1.0,0.0,-3.2109866204157993,0.4598309138608072,0.0006151958251439812
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,30,3,27,29,1.0,0.0,-8.729869874255455,0.5213992470922544,1.8626451492309574e-09
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,50,3,27,32.333333333333336,1.0,0.0,-9.733303193135391,1.4226122574795976,1.84797804333293e-10
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,80,3,27,32.333333333333336,1.0,0.0,-9.733303193135391,1.4226122574795976,1.84797804333293e-10
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,100,3,27,32.333333333333336,1.0,0.0,-9.733303193135391,1.4226122574795976,1.84797804333293e-10
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,150,3,27,32.333333333333336,1.0,0.0,-9.733303193135391,1.4226122574795976,1.84797804333293e-10
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,200,3,27,32.333333333333336,1.0,0.0,-9.733303193135391,1.4226122574795976,1.84797804333293e-10
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,20,3,12,15,1.0,0.0,-4.515449934959718,1.0853790848191869,3.0517578125e-05
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,30,3,12,15,1.0,0.0,-4.515449934959718,1.0853790848191869,3.0517578125e-05
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,50,3,12,15,1.0,0.0,-4.515449934959718,1.0853790848191869,3.0517578125e-05
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,80,3,12,15,1.0,0.0,-4.515449934959718,1.0853790848191869,3.0517578125e-05
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,100,3,12,15,1.0,0.0,-4.515449934959718,1.0853790848191869,3.0517578125e-05
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,150,3,12,15,1.0,0.0,-4.515449934959718,1.0853790848191869,3.0517578125e-05
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,200,3,12,15,1.0,0.0,-4.515449934959718,1.0853790848191869,3.0517578125e-05
toolbench,agentmark,deepseek,G2_category,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,deepseek,G2_category,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,deepseek,G2_category,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
toolbench,agentmark,deepseek,G2_category,L0_exact_probs,30,3,23,27.666666666666668,1.0,0.0,-8.32849654670348,1.2165982432152602,4.693571664001315e-09
toolbench,agentmark,deepseek,G2_category,L0_exact_probs,50,3,23,31.333333333333332,1.0,0.0,-9.43227319747141,2.177704613535751,3.695956086665861e-10
toolbench,agentmark,deepseek,G2_category,L0_exact_probs,80,3,23,31.333333333333332,1.0,0.0,-9.43227319747141,2.177704613535751,3.695956086665861e-10
toolbench,agentmark,deepseek,G2_category,L0_exact_probs,100,3,23,31.333333333333332,1.0,0.0,-9.43227319747141,2.177704613535751,3.695956086665861e-10
toolbench,agentmark,deepseek,G2_category,L0_exact_probs,150,3,23,31.333333333333332,1.0,0.0,-9.43227319747141,2.177704613535751,3.695956086665861e-10
toolbench,agentmark,deepseek,G2_category,L0_exact_probs,200,3,23,31.333333333333332,1.0,0.0,-9.43227319747141,2.177704613535751,3.695956086665861e-10
toolbench,agentmark,deepseek,G2_instruction,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,deepseek,G2_instruction,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,deepseek,G2_instruction,L0_exact_probs,20,3,19,19.666666666666668,1.0,0.0,-5.92025658139163,0.17379974903075146,1.201554345984338e-06
toolbench,agentmark,deepseek,G2_instruction,L0_exact_probs,30,3,19,26.333333333333332,1.0,0.0,-7.927123219151505,1.9117972393382654,1.182705947733074e-08
toolbench,agentmark,deepseek,G2_instruction,L0_exact_probs,50,3,19,28,1.0,0.0,-8.428839878591473,2.3511194260727906,3.725290298461915e-09
toolbench,agentmark,deepseek,G2_instruction,L0_exact_probs,80,3,19,28,1.0,0.0,-8.428839878591473,2.3511194260727906,3.725290298461915e-09
toolbench,agentmark,deepseek,G2_instruction,L0_exact_probs,100,3,19,28,1.0,0.0,-8.428839878591473,2.3511194260727906,3.725290298461915e-09
toolbench,agentmark,deepseek,G2_instruction,L0_exact_probs,150,3,19,28,1.0,0.0,-8.428839878591473,2.3511194260727906,3.725290298461915e-09
toolbench,agentmark,deepseek,G2_instruction,L0_exact_probs,200,3,19,28,1.0,0.0,-8.428839878591473,2.3511194260727906,3.725290298461915e-09
toolbench,agentmark,deepseek,G3_instruction,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,deepseek,G3_instruction,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,deepseek,G3_instruction,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
toolbench,agentmark,deepseek,G3_instruction,L0_exact_probs,30,3,28,29.333333333333332,1.0,0.0,-8.830213206143448,0.3475994980615029,1.4783824346663447e-09
toolbench,agentmark,deepseek,G3_instruction,L0_exact_probs,50,3,28,30.333333333333332,1.0,0.0,-9.131243201807429,0.6266439067931472,7.391912173331723e-10
toolbench,agentmark,deepseek,G3_instruction,L0_exact_probs,80,3,28,30.333333333333332,1.0,0.0,-9.131243201807429,0.6266439067931472,7.391912173331723e-10
toolbench,agentmark,deepseek,G3_instruction,L0_exact_probs,100,3,28,30.333333333333332,1.0,0.0,-9.131243201807429,0.6266439067931472,7.391912173331723e-10
toolbench,agentmark,deepseek,G3_instruction,L0_exact_probs,150,3,28,30.333333333333332,1.0,0.0,-9.131243201807429,0.6266439067931472,7.391912173331723e-10
toolbench,agentmark,deepseek,G3_instruction,L0_exact_probs,200,3,28,30.333333333333332,1.0,0.0,-9.131243201807429,0.6266439067931472,7.391912173331723e-10
toolbench,agentmark,gemini-flash,G1_category,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,gemini-flash,G1_category,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,gemini-flash,G1_category,L0_exact_probs,20,3,13,16,1.0,0.0,-4.816479930623699,1.0853790848191869,1.5258789062499998e-05
toolbench,agentmark,gemini-flash,G1_category,L0_exact_probs,30,3,13,16.666666666666668,1.0,0.0,-5.017166594399686,1.4226122574795976,9.612434767874709e-06
toolbench,agentmark,gemini-flash,G1_category,L0_exact_probs,50,3,13,16.666666666666668,1.0,0.0,-5.017166594399686,1.4226122574795976,9.612434767874709e-06
toolbench,agentmark,gemini-flash,G1_category,L0_exact_probs,80,3,13,16.666666666666668,1.0,0.0,-5.017166594399686,1.4226122574795976,9.612434767874709e-06
toolbench,agentmark,gemini-flash,G1_category,L0_exact_probs,100,3,13,16.666666666666668,1.0,0.0,-5.017166594399686,1.4226122574795976,9.612434767874709e-06
toolbench,agentmark,gemini-flash,G1_category,L0_exact_probs,150,3,13,16.666666666666668,1.0,0.0,-5.017166594399686,1.4226122574795976,9.612434767874709e-06
toolbench,agentmark,gemini-flash,G1_category,L0_exact_probs,200,3,13,16.666666666666668,1.0,0.0,-5.017166594399686,1.4226122574795976,9.612434767874709e-06
toolbench,agentmark,gemini-flash,G1_instruction,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,gemini-flash,G1_instruction,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,gemini-flash,G1_instruction,L0_exact_probs,20,3,19,19.666666666666668,1.0,0.0,-5.92025658139163,0.17379974903075146,1.201554345984338e-06
toolbench,agentmark,gemini-flash,G1_instruction,L0_exact_probs,30,3,19,26.333333333333332,1.0,0.0,-7.927123219151505,1.9117972393382654,1.182705947733074e-08
toolbench,agentmark,gemini-flash,G1_instruction,L0_exact_probs,50,3,19,30.666666666666668,1.0,0.0,-9.231586533695424,3.6165385033820523,5.866964580001642e-10
toolbench,agentmark,gemini-flash,G1_instruction,L0_exact_probs,80,3,19,30.666666666666668,1.0,0.0,-9.231586533695424,3.6165385033820523,5.866964580001642e-10
toolbench,agentmark,gemini-flash,G1_instruction,L0_exact_probs,100,3,19,30.666666666666668,1.0,0.0,-9.231586533695424,3.6165385033820523,5.866964580001642e-10
toolbench,agentmark,gemini-flash,G1_instruction,L0_exact_probs,150,3,19,30.666666666666668,1.0,0.0,-9.231586533695424,3.6165385033820523,5.866964580001642e-10
toolbench,agentmark,gemini-flash,G1_instruction,L0_exact_probs,200,3,19,30.666666666666668,1.0,0.0,-9.231586533695424,3.6165385033820523,5.866964580001642e-10
toolbench,agentmark,gemini-flash,G1_tool,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,gemini-flash,G1_tool,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,gemini-flash,G1_tool,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
toolbench,agentmark,gemini-flash,G1_tool,L0_exact_probs,30,3,24,28,1.0,0.0,-8.428839878591473,1.0427984941845088,3.725290298461915e-09
toolbench,agentmark,gemini-flash,G1_tool,L0_exact_probs,50,3,24,30.333333333333332,1.0,0.0,-9.131243201807429,1.8145226510527745,7.391912173331723e-10
toolbench,agentmark,gemini-flash,G1_tool,L0_exact_probs,80,3,24,30.333333333333332,1.0,0.0,-9.131243201807429,1.8145226510527745,7.391912173331723e-10
toolbench,agentmark,gemini-flash,G1_tool,L0_exact_probs,100,3,24,30.333333333333332,1.0,0.0,-9.131243201807429,1.8145226510527745,7.391912173331723e-10
toolbench,agentmark,gemini-flash,G1_tool,L0_exact_probs,150,3,24,30.333333333333332,1.0,0.0,-9.131243201807429,1.8145226510527745,7.391912173331723e-10
toolbench,agentmark,gemini-flash,G1_tool,L0_exact_probs,200,3,24,30.333333333333332,1.0,0.0,-9.131243201807429,1.8145226510527745,7.391912173331723e-10
toolbench,agentmark,gemini-flash,G2_category,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,gemini-flash,G2_category,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,gemini-flash,G2_category,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
toolbench,agentmark,gemini-flash,G2_category,L0_exact_probs,30,3,22,27.333333333333332,1.0,0.0,-8.228153214815485,1.390397992246011,5.9135297386653805e-09
toolbench,agentmark,gemini-flash,G2_category,L0_exact_probs,50,3,22,29.666666666666668,1.0,0.0,-8.930556538031443,2.1356870714680976,1.1733929160003286e-09
toolbench,agentmark,gemini-flash,G2_category,L0_exact_probs,80,3,22,29.666666666666668,1.0,0.0,-8.930556538031443,2.1356870714680976,1.1733929160003286e-09
toolbench,agentmark,gemini-flash,G2_category,L0_exact_probs,100,3,22,29.666666666666668,1.0,0.0,-8.930556538031443,2.1356870714680976,1.1733929160003286e-09
toolbench,agentmark,gemini-flash,G2_category,L0_exact_probs,150,3,22,29.666666666666668,1.0,0.0,-8.930556538031443,2.1356870714680976,1.1733929160003286e-09
toolbench,agentmark,gemini-flash,G2_category,L0_exact_probs,200,3,22,29.666666666666668,1.0,0.0,-8.930556538031443,2.1356870714680976,1.1733929160003286e-09
toolbench,agentmark,gemini-flash,G2_instruction,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,gemini-flash,G2_instruction,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,gemini-flash,G2_instruction,L0_exact_probs,20,3,19,19.666666666666668,1.0,0.0,-5.92025658139163,0.17379974903075146,1.201554345984338e-06
toolbench,agentmark,gemini-flash,G2_instruction,L0_exact_probs,30,3,19,25,1.0,0.0,-7.52574989159953,1.6760640820007904,2.980232238769533e-08
toolbench,agentmark,gemini-flash,G2_instruction,L0_exact_probs,50,3,19,25.666666666666668,1.0,0.0,-7.726436555375518,1.958623700694017,1.8774286656005268e-08
toolbench,agentmark,gemini-flash,G2_instruction,L0_exact_probs,80,3,19,25.666666666666668,1.0,0.0,-7.726436555375518,1.958623700694017,1.8774286656005268e-08
toolbench,agentmark,gemini-flash,G2_instruction,L0_exact_probs,100,3,19,25.666666666666668,1.0,0.0,-7.726436555375518,1.958623700694017,1.8774286656005268e-08
toolbench,agentmark,gemini-flash,G2_instruction,L0_exact_probs,150,3,19,25.666666666666668,1.0,0.0,-7.726436555375518,1.958623700694017,1.8774286656005268e-08
toolbench,agentmark,gemini-flash,G2_instruction,L0_exact_probs,200,3,19,25.666666666666668,1.0,0.0,-7.726436555375518,1.958623700694017,1.8774286656005268e-08
toolbench,agentmark,gemini-flash,G3_instruction,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,agentmark,gemini-flash,G3_instruction,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,agentmark,gemini-flash,G3_instruction,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
toolbench,agentmark,gemini-flash,G3_instruction,L0_exact_probs,30,3,22,27,1.0,0.0,-8.127809882927492,1.3121593300737808,7.450580596923831e-09
toolbench,agentmark,gemini-flash,G3_instruction,L0_exact_probs,50,3,22,28,1.0,0.0,-8.428839878591473,1.6760640820007904,3.725290298461915e-09
toolbench,agentmark,gemini-flash,G3_instruction,L0_exact_probs,80,3,22,28,1.0,0.0,-8.428839878591473,1.6760640820007904,3.725290298461915e-09
toolbench,agentmark,gemini-flash,G3_instruction,L0_exact_probs,100,3,22,28,1.0,0.0,-8.428839878591473,1.6760640820007904,3.725290298461915e-09
toolbench,agentmark,gemini-flash,G3_instruction,L0_exact_probs,150,3,22,28,1.0,0.0,-8.428839878591473,1.6760640820007904,3.725290298461915e-09
toolbench,agentmark,gemini-flash,G3_instruction,L0_exact_probs,200,3,22,28,1.0,0.0,-8.428839878591473,1.6760640820007904,3.725290298461915e-09
toolbench,rank,deepseek,G1_category,full_rank,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,rank,deepseek,G1_category,full_rank,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,rank,deepseek,G1_category,full_rank,20,3,12,15.666666666666666,1.0,0.0,-4.716136598735705,1.2165982432152602,1.9224869535749418e-05
toolbench,rank,deepseek,G1_category,full_rank,30,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,full_rank,50,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,full_rank,80,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,full_rank,100,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,full_rank,150,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,full_rank,200,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,top10,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,rank,deepseek,G1_category,top10,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,rank,deepseek,G1_category,top10,20,3,12,15.666666666666666,1.0,0.0,-4.716136598735705,1.2165982432152602,1.9224869535749418e-05
toolbench,rank,deepseek,G1_category,top10,30,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,top10,50,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,top10,80,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,top10,100,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,top10,150,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,top10,200,3,12,16.666666666666668,1.0,0.0,-5.017166594399686,1.711729014191721,9.612434767874709e-06
toolbench,rank,deepseek,G1_category,top2,5,3,4,4.333333333333333,1.0,0.0,-1.3044633145439186,0.17379974903075146,0.04960628287400622
toolbench,rank,deepseek,G1_category,top2,10,3,4,4.333333333333333,1.0,0.0,-1.3044633145439186,0.17379974903075146,0.04960628287400622
toolbench,rank,deepseek,G1_category,top2,20,3,4,4.333333333333333,1.0,0.0,-1.3044633145439186,0.17379974903075146,0.04960628287400622
toolbench,rank,deepseek,G1_category,top2,30,3,4,4.333333333333333,1.0,0.0,-1.3044633145439186,0.17379974903075146,0.04960628287400622
toolbench,rank,deepseek,G1_category,top2,50,3,4,4.333333333333333,1.0,0.0,-1.3044633145439186,0.17379974903075146,0.04960628287400622
toolbench,rank,deepseek,G1_category,top2,80,3,4,4.333333333333333,1.0,0.0,-1.3044633145439186,0.17379974903075146,0.04960628287400622
toolbench,rank,deepseek,G1_category,top2,100,3,4,4.333333333333333,1.0,0.0,-1.3044633145439186,0.17379974903075146,0.04960628287400622
toolbench,rank,deepseek,G1_category,top2,150,3,4,4.333333333333333,1.0,0.0,-1.3044633145439186,0.17379974903075146,0.04960628287400622
toolbench,rank,deepseek,G1_category,top2,200,3,4,4.333333333333333,1.0,0.0,-1.3044633145439186,0.17379974903075146,0.04960628287400622
toolbench,rank,deepseek,G1_category,top3,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,rank,deepseek,G1_category,top3,10,3,5,7.333333333333333,1.0,0.0,-2.207553301535862,0.626643906793147,0.006200785359250781
toolbench,rank,deepseek,G1_category,top3,20,3,5,7.333333333333333,1.0,0.0,-2.207553301535862,0.626643906793147,0.006200785359250781
toolbench,rank,deepseek,G1_category,top3,30,3,5,7.333333333333333,1.0,0.0,-2.207553301535862,0.626643906793147,0.006200785359250781
toolbench,rank,deepseek,G1_category,top3,50,3,5,7.333333333333333,1.0,0.0,-2.207553301535862,0.626643906793147,0.006200785359250781
toolbench,rank,deepseek,G1_category,top3,80,3,5,7.333333333333333,1.0,0.0,-2.207553301535862,0.626643906793147,0.006200785359250781
toolbench,rank,deepseek,G1_category,top3,100,3,5,7.333333333333333,1.0,0.0,-2.207553301535862,0.626643906793147,0.006200785359250781
toolbench,rank,deepseek,G1_category,top3,150,3,5,7.333333333333333,1.0,0.0,-2.207553301535862,0.626643906793147,0.006200785359250781
toolbench,rank,deepseek,G1_category,top3,200,3,5,7.333333333333333,1.0,0.0,-2.207553301535862,0.626643906793147,0.006200785359250781
toolbench,rank,deepseek,G1_category,top5,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,rank,deepseek,G1_category,top5,10,3,9,9.666666666666666,1.0,0.0,-2.9099566247518185,0.17379974903075146,0.0012303916502879612
toolbench,rank,deepseek,G1_category,top5,20,3,9,11.333333333333334,1.0,0.0,-3.411673284191787,0.6266439067931469,0.0003875490849531736
toolbench,rank,deepseek,G1_category,top5,30,3,9,11.333333333333334,1.0,0.0,-3.411673284191787,0.6266439067931469,0.0003875490849531736
toolbench,rank,deepseek,G1_category,top5,50,3,9,11.333333333333334,1.0,0.0,-3.411673284191787,0.6266439067931469,0.0003875490849531736
toolbench,rank,deepseek,G1_category,top5,80,3,9,11.333333333333334,1.0,0.0,-3.411673284191787,0.6266439067931469,0.0003875490849531736
toolbench,rank,deepseek,G1_category,top5,100,3,9,11.333333333333334,1.0,0.0,-3.411673284191787,0.6266439067931469,0.0003875490849531736
toolbench,rank,deepseek,G1_category,top5,150,3,9,11.333333333333334,1.0,0.0,-3.411673284191787,0.6266439067931469,0.0003875490849531736
toolbench,rank,deepseek,G1_category,top5,200,3,9,11.333333333333334,1.0,0.0,-3.411673284191787,0.6266439067931469,0.0003875490849531736
toolbench,rank,deepseek,G1_instruction,full_rank,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
toolbench,rank,deepseek,G1_instruction,full_rank,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
toolbench,rank,deepseek,G1_instruction,full_rank,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
toolbench,rank,deepseek,G1_instruction,full_rank,30,3,28,29.333333333333332,1.0,0.0,-8.830213206143448,0.3475994980615029,1.4783824346663447e-09
toolbench,rank,deepseek,G1_instruction,full_rank,50,3,28,34,1.0,0.0,-10.23501985257536,1.592901011395493,5.820766091346738e-11
toolbench,rank,deepseek,G1_instruction,full_rank,80,3,28,34,1.0,0.0,-10.23501985257536,1.592901011395493,5.820766091346738e-11
